id,smiles,KRAS G12D SPR KD  (nM),KRAS G12D binding IC50 (nM),pERK IC50 (nM),SMILES
445,O=C(N1CCOCC1)OC[C@@H]1N(CCC2)[C@@]2(COc2nc(N3CC(CC4)NC4C3)c(cnc(-c3c4c(Cl)cccc4ccc3)c3F)c3n2)CC1,,2.7,130,O=C(OC[C@H]1CC[C@@]2(COc3nc(N4CC5CCC(C4)N5)c4cnc(-c5cccc6cccc(Cl)c56)c(F)c4n3)CCCN12)N1CCOCC1
446,Cn1c2cccc(-c(ncc(c3n4)c(N5CC(CC6)NC6C5)nc4OCC4(CCC5)N5CCC4)c3F)c2cc1,,357,,Cn1ccc2c(-c3ncc4c(N5CC6CCC(C5)N6)nc(OCC56CCCN5CCC6)nc4c3F)cccc21
447,CCCc(cccc1)c1-c(ncc(c1n2)c(N3CC(CC4)NC4C3)nc2OCC2(CCC3)N3CCC2)c1F,,297,,CCCc1ccccc1-c1ncc2c(N3CC4CCC(C3)N4)nc(OCC34CCCN3CCC4)nc2c1F
448,F[C@H]1CN(CCC2)[C@]2(COc2nc(N3CC(CC4)NC4C3)c(cnc(-c3c(C4CC4)cccc3)c3F)c3n2)C1,,130,,Fc1c(-c2ccccc2C2CC2)ncc2c(N3CC4CCC(C3)N4)nc(OC[C@@]34CCCN3C[C@H](F)C4)nc12
449,CCc1c2c(-c(ncc3c(N4CC(CC5)NC5C4)ncnc33)c3F)cccc2ccc1,,71,,CCc1cccc2cccc(-c3ncc4c(N5CC6CCC(C5)N6)ncnc4c3F)c12
450,CC(C1(CCC2)N2CCC1)Oc1nc(N2CC(CC3)NC3C2)c(cnc(-c2cccc3cccc(F)c23)c2F)c2n1,,37,,CC(Oc1nc(N2CC3CCC(C2)N3)c2cnc(-c3cccc4cccc(F)c34)c(F)c2n1)C12CCCN1CCC2
451,C[C@@H](C1)[C@H]1c(c(-c(ncc(c1n2)c(N3CC(CC4)NC4C3)nc2OC[C@](CCC2)(C3)N2C[C@@H]3F)c1F)cc(O)c1)c1Cl,,1,78.3,C[C@H]1C[C@@H]1c1c(Cl)cc(O)cc1-c1ncc2c(N3CC4CCC(C3)N4)nc(OC[C@@]34CCCN3C[C@H](F)C4)nc2c1F
452,C[C@H](C1)[C@@H]1c(c(-c(ncc(c1n2)c(N3CC(CC4)NC4C3)nc2OC[C@](CCC2)(C3)N2C[C@@H]3F)c1F)cc(O)c1)c1Cl,,1,13.7,C[C@@H]1C[C@H]1c1c(Cl)cc(O)cc1-c1ncc2c(N3CC4CCC(C3)N4)nc(OC[C@@]34CCCN3C[C@H](F)C4)nc2c1F
453,Nc1nc(c(-c(ncc(c2n3)c(N4CC(CC5)NC5C4)nc3OCC3(CCC4)N4CCC3)c2F)ccc2)c2s1,,27,,Nc1nc2c(-c3ncc4c(N5CC6CCC(C5)N6)nc(OCC56CCCN5CCC6)nc4c3F)cccc2s1
454,Fc(c1n2)c(-c3cccc4c3ncs4)ncc1c(N1CC(CC3)NC3C1)nc2OCC1(CCC2)N2CCC1,,295,,Fc1c(-c2cccc3scnc23)ncc2c(N3CC4CCC(C3)N4)nc(OCC34CCCN3CCC4)nc12
455,Nc(sc1c(cc2)F)nc1c2-c(ncc(c1n2)c(N3CC(CC4)NC4C3)nc2OCC2(CCC3)N3CCC2)c1F,,17,,Nc1nc2c(-c3ncc4c(N5CC6CCC(C5)N6)nc(OCC56CCCN5CCC6)nc4c3F)ccc(F)c2s1
456,Cc(c(C)c1-c(ncc(c2n3)c(N4CC(CC5)NC5C4)nc3OCC3(CCC4)N4CCC3)c2F)cc2c1nc(N)s2,,966,,Cc1cc2sc(N)nc2c(-c2ncc3c(N4CC5CCC(C4)N5)nc(OCC45CCCN4CCC5)nc3c2F)c1C
457,Cc(c(C)c1-c(ncc(c2n3)c(N4CC(CC5)NC5C4)nc3OC[C@](CCC3)(C4)N3C[C@@H]4F)c2F)cc2c1nc(N)s2,,475,,Cc1cc2sc(N)nc2c(-c2ncc3c(N4CC5CCC(C4)N5)nc(OC[C@@]45CCCN4C[C@H](F)C5)nc3c2F)c1C
458,Cc(ccc1c2nc(N)s1)c2-c(ncc(c1n2)c(N3CC(CC4)NC4C3)nc2OCC2(CCC3)N3CCC2)c1F,,143,,Cc1ccc2sc(N)nc2c1-c1ncc2c(N3CC4CCC(C3)N4)nc(OCC34CCCN3CCC4)nc2c1F
459,C#CC1=CC=CC2=CC(O)=CC(C3=C(F)C=C4C(N5CC6CCC(C5)N6)=NC(OCC5(CN6CCC6)CC5)=NC4=C3F)=C12,,5.41,58.3,C#Cc1cccc2cc(O)cc(-c3c(F)cc4c(N5CC6CCC(C5)N6)nc(OCC5(CN6CCC6)CC5)nc4c3F)c12
460,C#CC1=CC=CC2=CC(O)=CC(C3=C(F)C=C4C(N5CC6CC(C5)N6)=NC(OCC5(CN6CCOC7(CC7)C6)CC5)=NC4=C3F)=C12,,26,,C#Cc1cccc2cc(O)cc(-c3c(F)cc4c(N5CC6CC(C5)N6)nc(OCC5(CN6CCOC7(CC7)C6)CC5)nc4c3F)c12
461,C#CC1=CC=CC2=CC(O)=CC(C3=C(F)C=C4C(N5CC6CC(C5)N6)=NC(OCC5(CN6CCC7(CC6)CC7(F)F)CC5)=NC4=C3F)=C12,,37.1,95.5,C#Cc1cccc2cc(O)cc(-c3c(F)cc4c(N5CC6CC(C5)N6)nc(OCC5(CN6CCC7(CC6)CC7(F)F)CC5)nc4c3F)c12
462,C#CC1=CC=CC2=CC(O)=CC(C3=C(F)C=C4C(N5CC6CCC(C5)N6)=NC(OCC5(CN6CCCC7(C6)CC7(F)F)CC5)=NC4=C3F)=C12,,55.5,,C#Cc1cccc2cc(O)cc(-c3c(F)cc4c(N5CC6CCC(C5)N6)nc(OCC5(CN6CCCC7(C6)CC7(F)F)CC5)nc4c3F)c12
463,C#CC1=CC=CC2=CC(O)=CC(C3=C(F)C=C4C(N5CC6CCC(C5)N6)=NC(OCC5(CN6CCOC7(CCC7)C6)CC5)=NC4=C3F)=C12,,66.2,,C#Cc1cccc2cc(O)cc(-c3c(F)cc4c(N5CC6CCC(C5)N6)nc(OCC5(CN6CCOC7(CCC7)C6)CC5)nc4c3F)c12
464,C#CC1=C(F)C=CC2=C1C(C1=C(F)C3=C(C=C1)C(N1CC4CCC(C1)N4)=NC(OCC1(CN4C5CCC4COC5)CC1)=N3)=CC(O)=C2,,6.27,3.53,C#Cc1c(F)ccc2cc(O)cc(-c3ccc4c(N5CC6CCC(C5)N6)nc(OCC5(CN6C7CCC6COC7)CC5)nc4c3F)c12
465,C#CC1=CC=CC2=C1C(C1=C(F)C3=C(C=C1)C(N1CC4CCC(C1)N4)=NC(OCC1(CN4CC5CCC(C4)O5)CC1)=N3)=CC(O)=C2,,16.8,21.2,C#Cc1cccc2cc(O)cc(-c3ccc4c(N5CC6CCC(C5)N6)nc(OCC5(CN6CC7CCC(C6)O7)CC5)nc4c3F)c12
466,C#CC1=CC=CC2=C1C(C1=C(F)C3=C(C=C1)C(N1CC4CCC(C1)N4)=NC(OCC1(CN4CC5CC4CO5)CC1)=N3)=CC(O)=C2,,7.77,2.59,C#Cc1cccc2cc(O)cc(-c3ccc4c(N5CC6CCC(C5)N6)nc(OCC5(CN6CC7CC6CO7)CC5)nc4c3F)c12
467,C#CC1=CC=CC2=C1C(C1=C(F)C3=C(C=C1)C(N1CC4CCC(C1)N4)=NC(OCC1(CN4C5CCC4COC5)CC1)=N3)=CC(O)=C2,,12.1,6.18,C#Cc1cccc2cc(O)cc(-c3ccc4c(N5CC6CCC(C5)N6)nc(OCC5(CN6C7CCC6COC7)CC5)nc4c3F)c12
468,C#CC1=CC=CC2=CC(O)=CC(C3=C(F)C=C4C(N5CC6CCC(C5)N6)=NC(OCC5(CN6CCC7(CCO7)CC6)CC5)=NC4=C3F)=C12,,31.6,9.49,C#Cc1cccc2cc(O)cc(-c3c(F)cc4c(N5CC6CCC(C5)N6)nc(OCC5(CN6CCC7(CCO7)CC6)CC5)nc4c3F)c12
469,C#CC1=CC=CC2=CC(O)=CC(C3=C(F)C=C4C(N5CC6CCC(C5)N6)=NC(OCC5(CN6CCC7(CC6)COC7)CC5)=NC4=C3F)=C12,,14.2,1.94,C#Cc1cccc2cc(O)cc(-c3c(F)cc4c(N5CC6CCC(C5)N6)nc(OCC5(CN6CCC7(CC6)COC7)CC5)nc4c3F)c12
470,C#CC1=CC=CC2=CC(O)=CC(C3=C(F)C=C4C(N5CC6CCC(C5)N6)=NC(OCC5(CN6CC7CC6CO7)CC5)=NC4=C3F)=C12,,12,,C#Cc1cccc2cc(O)cc(-c3c(F)cc4c(N5CC6CCC(C5)N6)nc(OCC5(CN6CC7CC6CO7)CC5)nc4c3F)c12
471,C#CC1=CC=CC2=CC(O)=CC(C3=C(F)C=C4C(N5CC6CCC(C5)N6)=NC(OCC5(CN6CCC7(C6)CC7(F)F)CC5)=NC4=C3F)=C12,,4.36,182,C#Cc1cccc2cc(O)cc(-c3c(F)cc4c(N5CC6CCC(C5)N6)nc(OCC5(CN6CCC7(C6)CC7(F)F)CC5)nc4c3F)c12
472,C#CC1=CC=CC2=CC(O)=CC(C3=C(F)C=C4C(N5CC6CCC(C5)N6)=NC(OCC5(CN6CCC7=C(C6)N=CC=C7)CC5)=NC4=C3F)=C12,,6.06,68.9,C#Cc1cccc2cc(O)cc(-c3c(F)cc4c(N5CC6CCC(C5)N6)nc(OCC5(CN6CCc7cccnc7C6)CC5)nc4c3F)c12
473,C#CC1=CC=CC2=CC(O)=CC(C3=C(F)C=C4C(N5CC6CCC(C5)N6)=NC(OCC5(CN6CCC7=C(C=CC=C7)C6)CC5)=NC4=C3F)=C12,,27.3,,C#Cc1cccc2cc(O)cc(-c3c(F)cc4c(N5CC6CCC(C5)N6)nc(OCC5(CN6CCc7ccccc7C6)CC5)nc4c3F)c12
